,stock,from,to,from_w,to_w,cash,price
2016-08-15 14:46:44,SZ000001,2.92719752,0.0,34.7,0.0,6.18949441,9.66
2016-08-15 11:28:13,SH600853,0.80795113,0.0,9.68,0.0,3.28335586,5.48
2016-08-15 10:00:24,SZ000333,0.82338201,0.0,9.86,0.0,2.46946391,26.85
2016-08-12 14:53:29,SH600284,0.78386855,0.0,9.59,0.0,1.65065625,11.21
2016-08-12 14:11:15,SZ000333,0.0,0.8151,0.0,10.0,0.86186214,26.73
2016-08-12 13:56:05,SZ000728,0.0,0.8946,0.0,11.0,1.67701032,19.32
2016-08-12 10:52:42,SZ000002,0.72948744,0.0,9.04,0.0,2.57156921,21.78
2016-08-12 10:50:02,SZ000002,1.37972674,0.7295,16.94,9.0,1.83770148,21.65
2016-08-12 10:49:29,SZ000002,2.49716881,1.3797,31.72,17.0,1.1944369,21.76
2016-08-11 10:22:57,SZ000657,0.0,1.1689,0.0,14.56,0.00010427,18.28
2016-08-11 09:34:51,SZ000002,0.0,2.4735,0.0,31.0,1.16895818,20.91
2016-08-10 09:59:27,SH600284,2.17041103,0.7993,26.99,10.0,3.64246836,11.36
2016-08-09 14:26:40,SZ002621,1.08825585,0.0,13.59,0.0,2.28469832,21.49
2016-08-09 10:45:12,SH600853,0.0,0.7976,0.0,10.0,1.19795956,5.37
2016-08-09 10:44:23,SH600284,0.0,2.1533,0.0,27.0,1.99551426,11.34
2016-08-05 13:18:07,SZ000002,0.63136748,0.0,8.81,0.0,4.14883544,21.14
2016-08-04 14:10:06,SZ000002,1.02272425,0.6314,13.17,8.0,3.44819982,19.05
2016-08-04 14:01:35,SZ000002,1.49073096,1.0227,18.89,13.0,3.03992498,18.74
2016-08-04 13:32:03,SZ002621,2.18026903,1.1024,27.62,14.0,2.57667593,21.8
2016-08-04 13:29:23,SZ000002,2.83257239,1.4979,38.07,19.0,1.50381138,18.89
2016-08-03 14:27:12,SZ002621,0.0,2.1932,0.0,28.15,0.00070895,21.98
2016-08-02 14:56:30,SZ000002,5.01266489,2.796,64.25,36.0,2.19394984,17.6
2016-08-02 14:30:35,SZ000001,0.0,2.7647,0.0,35.55,1e-08,9.19
2016-08-02 10:51:34,SZ000002,3.82249463,4.9248,49.93,64.0,8e-08,17.37
2016-07-29 14:15:20,SZ000002,3.0062334,3.8225,40.18,50.0,0.02744328,17.28
2016-07-29 09:30:57,SZ000002,3.03863182,3.0062,38.12,39.74,0.77792646,16.91
2016-07-28 14:12:44,SZ000002,2.27318849,3.0386,30.16,40.0,0.77792646,17.82
2016-07-27 10:33:26,SH600787,1.48965409,0.0,20.01,0.0,1.52536943,8.27
2016-07-25 14:05:07,SZ000002,0.0,2.2822,0.0,30.24,0.002571,17.75
2016-07-21 09:56:36,SH600873,2.29812186,0.0,29.91,0.0,2.28475967,6.85
2016-07-20 14:51:45,SH601939,0.0,3.8026,0.0,49.75,0.00329087,5.06
2016-07-15 14:36:33,SZ000683,0.0,1.5588,0.0,20.0,2.27974367,2.8
2016-07-15 14:01:19,SH600873,0.0,2.3048,0.0,30.0,3.83854695,6.92
2016-07-15 11:10:18,SH601555,0.77205371,0.0,10.01,0.0,6.14333003,14.82
2016-07-15 10:24:41,SZ300471,2.35944817,1.5403,30.46,20.0,3.85000853,53.1
2016-07-15 10:19:55,SH601555,1.53694735,0.7721,19.84,10.0,3.04459039,14.88
2016-07-14 13:49:11,SH601555,0.0,1.5369,0.0,20.0,2.28484393,14.93
2016-07-13 14:36:18,SZ300471,0.0,2.2976,0.0,30.0,3.82179128,52.01
2016-07-13 10:36:02,SH601939,1.14957576,0.0,15.0,0.0,6.11939284,5.03
2016-07-13 10:34:06,SH601939,2.30207145,1.1496,29.98,15.0,4.96981708,5.03
2016-07-13 10:23:43,SH601939,3.91711176,2.3021,50.85,30.0,3.82188899,5.04
2016-07-13 10:06:12,SZ002673,1.16982412,0.0,15.03,0.0,2.22233133,27.5
